Year,North America,Europe,Asia Pacific,Rest of the world,Total Sales
2018,165.79,330.77,418.19,59.89,974.64
2019,185.42,371.00,476.40,66.66,1099.48
2020,196.26,393.86,513.65,70.21,1173.98
2021,219.40,441.61,584.88,78.10,1323.99
2022,233.84,472.08,634.93,82.81,1423.66
2023,250.03,506.32,691.50,88.07,1535.92
2024,265.89,540.12,749.01,93.16,1648.18
2025,281.42,573.48,807.47,98.06,1760.43
2026,296.63,606.41,866.88,102.77,1872.69
2027,311.50,638.90,927.24,107.30,1984.94
2028,326.05,670.95,988.54,111.65,2097.19
2029,340.27,702.56,1050.80,115.81,2209.44
2030,354.16,733.74,1114.01,119.79,2321.70
2031,367.73,764.48,1178.17,123.58,2433.96
2032,380.96,794.79,1243.28,127.19,2546.22
